code,name,ticker,market,size_category,sector_33,sector_17
1332,ニッスイ,1332.T,TSE Prime,TOPIX Mid400,水産・農林業,食品
1333,マルハニチロ,1333.T,TSE Prime,TOPIX Mid400,水産・農林業,食品
1414,ショーボンドホールディングス,1414.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1417,ミライト・ワン,1417.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1605,ＩＮＰＥＸ,1605.T,TSE Prime,TOPIX Mid400,鉱業,エネルギー資源
1719,安藤・間,1719.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1721,コムシスホールディングス,1721.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1801,大成建設,1801.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1802,大林組,1802.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1803,清水建設,1803.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1808,長谷工コーポレーション,1808.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1812,鹿島建設,1812.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1820,西松建設,1820.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1860,戸田建設,1860.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1878,大東建託,1878.T,TSE Prime,TOPIX Mid400,不動産業,不動産
1893,五洋建設,1893.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1911,住友林業,1911.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1925,大和ハウス工業,1925.T,TSE Prime,TOPIX Large70,建設業,建設・資材
1928,積水ハウス,1928.T,TSE Prime,TOPIX Large70,建設業,建設・資材
1942,関電工,1942.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1944,きんでん,1944.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1951,エクシオグループ,1951.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1959,クラフティア,1959.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1963,日揮ホールディングス,1963.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
1969,高砂熱学工業,1969.T,TSE Prime,TOPIX Mid400,建設業,建設・資材
2002,日清製粉グループ本社,2002.T,TSE Prime,TOPIX Mid400,食料品,食品
2127,日本Ｍ＆Ａセンターホールディングス,2127.T,TSE Prime,TOPIX Mid400,サービス業,情報通信・サービスその他
2181,パーソルホールディングス,2181.T,TSE Prime,TOPIX Mid400,サービス業,情報通信・サービスその他
2201,森永製菓,2201.T,TSE Prime,TOPIX Mid400,食料品,食品
2206,江崎グリコ,2206.T,TSE Prime,TOPIX Mid400,食料品,食品
2212,山崎製パン,2212.T,TSE Prime,TOPIX Mid400,食料品,食品
2222,寿スピリッツ,2222.T,TSE Prime,TOPIX Mid400,食料品,食品
2229,カルビー,2229.T,TSE Prime,TOPIX Mid400,食料品,食品
2264,森永乳業,2264.T,TSE Prime,TOPIX Mid400,食料品,食品
2267,ヤクルト本社,2267.T,TSE Prime,TOPIX Mid400,食料品,食品
2269,明治ホールディングス,2269.T,TSE Prime,TOPIX Mid400,食料品,食品
2282,日本ハム,2282.T,TSE Prime,TOPIX Mid400,食料品,食品
2327,日鉄ソリューションズ,2327.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
2331,ＡＬＳＯＫ,2331.T,TSE Prime,TOPIX Mid400,サービス業,情報通信・サービスその他
2371,カカクコム,2371.T,TSE Prime,TOPIX Mid400,サービス業,情報通信・サービスその他
2413,エムスリー,2413.T,TSE Prime,TOPIX Mid400,サービス業,情報通信・サービスその他
2432,ディー・エヌ・エー,2432.T,TSE Prime,TOPIX Mid400,情報・通信業,情報通信・サービスその他
2433,博報堂ＤＹホールディングス,2433.T,TSE Prime,TOPIX Mid400,サービス業,情報通信・サービスその他
2501,サッポロホールディングス,2501.T,TSE Prime,TOPIX Mid400,食料品,食品
2502,アサヒグループホールディングス,2502.T,TSE Prime,TOPIX Large70,食料品,食品
2503,キリンホールディングス,2503.T,TSE Prime,TOPIX Large70,食料品,食品
2531,宝ホールディングス,2531.T,TSE Prime,TOPIX Mid400,食料品,食品
2579,コカ・コーラ　ボトラーズジャパンホールディングス,2579.T,TSE Prime,TOPIX Mid400,食料品,食品
2587,サントリー食品インターナショナル,2587.T,TSE Prime,TOPIX Mid400,食料品,食品
2593,伊藤園,2593.T,TSE Prime,TOPIX Mid400,食料品,食品
2607,不二製油,2607.T,TSE Prime,TOPIX Mid400,食料品,食品
2670,エービーシー・マート,2670.T,TSE Prime,TOPIX Mid400,小売業,小売
2768,双日,2768.T,TSE Prime,TOPIX Mid400,卸売業,商社・卸売
2784,アルフレッサ　ホールディングス,2784.T,TSE Prime,TOPIX Mid400,卸売業,商社・卸売
2801,キッコーマン,2801.T,TSE Prime,TOPIX Mid400,食料品,食品
2802,味の素,2802.T,TSE Prime,TOPIX Large70,食料品,食品
2809,キユーピー,2809.T,TSE Prime,TOPIX Mid400,食料品,食品
2810,ハウス食品グループ本社,2810.T,TSE Prime,TOPIX Mid400,食料品,食品
2811,カゴメ,2811.T,TSE Prime,TOPIX Mid400,食料品,食品
285A,キオクシアホールディングス,285A.T,TSE Prime,TOPIX Mid400,電気機器,電機・精密
2871,ニチレイ,2871.T,TSE Prime,TOPIX Mid400,食料品,食品
2875,東洋水産,2875.T,TSE Prime,TOPIX Mid400,食料品,食品
